manufacturer,manufacturerLabel,countryLabel,headquartersLabel,coordinates
http://www.wikidata.org/entity/Q791733,Авиадвигатель,Россия,Пермь,
http://www.wikidata.org/entity/Q398845,Агуста,Италия,Самарате,
http://www.wikidata.org/entity/Q598758,Аллисон,США,Индианаполис,
http://www.wikidata.org/entity/Q381498,Аэроджет,США,Ранчо-Кордова,
http://www.wikidata.org/entity/Q1016699,Бурмейстер и Вайн,Дания,Копенгаген,
http://www.wikidata.org/entity/Q2562433,Волгоградский тракторный завод,Россия,Волгоград,Point(44.606111111 48.802222222)
http://www.wikidata.org/entity/Q4125417,Воронежский механический завод,Россия,Воронеж,
http://www.wikidata.org/entity/Q1533321,Гном-Рон,Франция,Париж,
http://www.wikidata.org/entity/Q28616,Горьковский автомобильный завод,Россия,Нижний Новгород,
http://www.wikidata.org/entity/Q28616,Горьковский автомобильный завод,СССР,Нижний Новгород,
http://www.wikidata.org/entity/Q1676085,ЗМКБ «Прогресс» им. академика А. Г. Ивченко,Украина,Запорожье,
http://www.wikidata.org/entity/Q638156,Завод имени Лихачёва,Россия,Москва,
http://www.wikidata.org/entity/Q2630674,Завод имени Малышева,Украина,Харьков,
http://www.wikidata.org/entity/Q1342845,Инглиш электрик,Великобритания,Лондон,
http://www.wikidata.org/entity/Q1342845,Инглиш электрик,Великобритания,Ланкашир,
http://www.wikidata.org/entity/Q1342845,Инглиш электрик,Великобритания,Стрэнд,
http://www.wikidata.org/entity/Q1507207,Климов,Россия,Санкт-Петербург,
http://www.wikidata.org/entity/Q4228338,Коломенский завод,Россия,Коломна,
http://www.wikidata.org/entity/Q4231576,Конструкторское бюро химавтоматики,Россия,Воронеж,
http://www.wikidata.org/entity/Q4231574,Конструкторское бюро химического машиностроения им. А. М. Исаева,Россия,Московская область,
http://www.wikidata.org/entity/Q217365,Лаборатории Белла,США,Murray Hill,Point(-74.400277777 40.683333333)
http://www.wikidata.org/entity/Q1878585,Лайкоминг,США,Уильямспорт,
http://www.wikidata.org/entity/Q574579,Лорен-Дитрих,Франция,Люневиль,
http://www.wikidata.org/entity/Q937993,Мотор Сич,Украина,Запорожье,
http://www.wikidata.org/entity/Q620238,НПО Энергомаш,Россия,Химки,
http://www.wikidata.org/entity/Q1949319,НПЦ газотурбостроения «Салют»,Россия,Москва,Point(37.724227777 55.772372222)
http://www.wikidata.org/entity/Q1949319,НПЦ газотурбостроения «Салют»,Россия,Проспект Будённого,Point(37.724227777 55.772372222)
http://www.wikidata.org/entity/Q1476227,Накадзима,Япония,,
http://www.wikidata.org/entity/Q14517591,ОКБ «Факел»,Россия,Калининград,
http://www.wikidata.org/entity/Q4383758,ОКБ Соловьёва,Россия,,
